Hotel_Name,Rating,Score,Number_Reviews,Price,Room_Type,City,Country
Miramar By Windsor Copacabana,Wonderful,9,"4,875",261,Superior Double Room with Partial Ocean View,Rio de Janeiro,Brazil
Modernistas Arte,Exceptional,9.5,33,64,Double Room with Balcony,Rio de Janeiro,Brazil
Novotel Rio de Janeiro Leme,Very Good,8.2,"2,504",,Superior Twin Room,Rio de Janeiro,Brazil
Novotel RJ Porto Atlantico,Very Good,8.1,"1,169",,Standard Apartment with One Double Bed,Rio de Janeiro,Brazil
Novotel RJ Santos Dumont,Very Good,8.2,"1,475",,Superior Queen Room,Rio de Janeiro,Brazil
Olinda Rio Hotel,Excellent,8.6,"3,064",237,Luxury Double Room with Sea View,Rio de Janeiro,Brazil
Orla Copacabana Hotel,Very Good,8.5,"4,304",161,Standard Double Room,Rio de Janeiro,Brazil
Pestana Rio Atlantica,Very Good,8,"3,902",205,Standard Apartment,Rio de Janeiro,Brazil
Petit Rio Hotel,Very Good,8.3,"3,541",57,Standard Double Room,Rio de Janeiro,Brazil
Regency Park Hotel,Good,7.9,"2,624",104,Standard King Room,Rio de Janeiro,Brazil
Riale Imperial Flamengo,Very Good,8.4,"2,376",55,Superior Triple Room,Rio de Janeiro,Brazil
Riale Vilamar Copacabana,Excellent,8.7,"2,779",106,Superior Triple Room,Rio de Janeiro,Brazil
Rio Aeroporto Hotel Galeão,Good,7,"4,363",91,Deluxe Double Room,Rio de Janeiro,Brazil
Rio Othon Palace,Very Good,8,"11,245",182,Superior Lateral Mar,Rio de Janeiro,Brazil
Ritz Copacabana Hotel,Very Good,8.2,"1,782",178,Standard Double or Twin Room,Rio de Janeiro,Brazil
Ritz Leblon,Very Good,8.3,"1,194",213,Superior Double Room,Rio de Janeiro,Brazil
Royal Regency Palace Hotel,Very Good,8.2,"6,434",87,Standard Double Room,Rio de Janeiro,Brazil
Royal Rio Palace Hotel,Good,7.9,"11,864",151,Standard Double Room with Double Bed,Rio de Janeiro,Brazil
Santa Vista Rio,Excellent,8.6,950,112,Standard Double Suite,Rio de Janeiro,Brazil
Savoy Othon,Very Good,8,"4,546",109,Superior Room,Rio de Janeiro,Brazil
Scorial Rio Hotel,Wonderful,9.1,"3,918",71,Standard Double Room,Rio de Janeiro,Brazil
Sol Ipanema Hotel,Very Good,8.4,"1,700",318,Standard Room,Rio de Janeiro,Brazil
South American Copacabana Hotel,Very Good,8.4,"4,465",113,Standard Double Room,Rio de Janeiro,Brazil
Venit Barra Hotel,Excellent,8.9,"1,421",81,Standard King Room,Rio de Janeiro,Brazil
Vila Galé Rio de Janeiro,Excellent,8.7,"6,827",79,Apartment **,Rio de Janeiro,Brazil
Villa 25,Very Good,8.4,"3,862",53,Design Suite,Rio de Janeiro,Brazil
Vogue Square Fashion Hotel by Lenny Niemeyer,Very Good,8.2,"4,151",81,Deluxe Queen Room,Rio de Janeiro,Brazil
Windsor Asturias Hotel,Excellent,8.7,"2,205",82,Standard Double Room,Rio de Janeiro,Brazil
Windsor California Copacabana,Excellent,8.9,"4,356",236,Standard com Cama Casal,Rio de Janeiro,Brazil
Windsor Excelsior Copacabana,Very Good,8.3,"3,446",145,Standard Double Room - No View,Rio de Janeiro,Brazil
Windsor Florida Hotel,Excellent,8.7,"5,985",99,Standard Family Plan,Rio de Janeiro,Brazil
Windsor Guanabara Hotel,Excellent,8.6,"2,679",78,Standard Double Room with Double Bed,Rio de Janeiro,Brazil
Windsor Leme Hotel,Excellent,8.9,"3,108",141,Standard Double Room,Rio de Janeiro,Brazil
Windsor Marapendi Hotel,Excellent,8.9,"6,880",110,Standard Double Room,Rio de Janeiro,Brazil
Windsor Oceanico Hotel,Excellent,8.9,"6,679",89,Standard Double Room,Rio de Janeiro,Brazil
Windsor Palace Copacabana,Very Good,8.5,"2,545",123,Standard Double Room,Rio de Janeiro,Brazil
Windsor Plaza Copacabana,Very Good,8.1,"3,566",96,Standard Double Room with Double bed,Rio de Janeiro,Brazil
Windsor Tower Hotel,Excellent,8.9,"5,386",80,Standard Double Room,Rio de Janeiro,Brazil
"Yoo2 Rio de Janeiro, Tapestry Collection by Hilton",Very Good,8.3,955,210,Quarto Standard com Cama King,Rio de Janeiro,Brazil
Abode Bombay,Excellent,8.8,"1,573",56,Basic Double or Twin Room (Shared Toilet) - Non-smoking,Mumbai,India
Ajanta Continental-Mumbai Airport,Good,7.7,56,65,Deluxe Double Room,Mumbai,India
Ascot Hotel,Very Good,8.5,421,101,Superior Double Room,Mumbai,India
"Aurika, Mumbai International Airport",Very Good,8.5,651,103,Deluxe King Room ( Happy Hours 1 + 1 (On select Brands only). Timing : 1700hrs – 2000hrs),Mumbai,India
Bentleys Hotel,Good,7.9,383,43,AC Double Room with Attached Bathroom,Mumbai,India
Bloom Hotel - Juhu,Good,7.1,787,79,Standard Double Room,Mumbai,India
FabExpress Prakash Inn - Nr Mumbai International Airport,Very Good,8,745,44,Deluxe Room,Mumbai,India
Four Seasons Hotel Mumbai,Excellent,8.7,"1,037",,Superior King Room,Mumbai,India
Grand Hyatt Mumbai Hotel and Residences,Very Good,8,"1,733",,King Room - Club Access,Mumbai,India
"Hotel Auris & Banquets, Mumbai International Airport",Very Good,8.1,172,89,Double or Twin Room,Mumbai,India
Hotel Bawa International,Good,7.3,926,,Day Use Room for 5 hours between 12 pm to 5 pm (Same Day Check In and Check Out),Mumbai,India
Hotel Marine Plaza,Very Good,8.1,678,155,Standard Room 1 Double Bed,Mumbai,India
Hotel Metropole Inn,Review score,6.9,223,67,Deluxe Double Room,Mumbai,India
Hotel Nexus Inn - Near Nesco,Exceptional,9.7,3,25,Deluxe Double Room,Mumbai,India
Hotel Peninsula Redpine,Review score,6.9,77,,Executive Twin Room 10% discount on Food and Beverage,Mumbai,India
Hotel Sahara Star,Review score,6.8,"1,554",202,Mercury City View Room - King Bed (Non-Smoking),Mumbai,India
Hotel Suba Galaxy Mumbai,Very Good,8,681,71,Deluxe Double or Twin Room with 10% off on laundry and ala carte,Mumbai,India
